episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,0.8689,0.0102433692663908,0.44145679473876953,322.0625,0.5,0
4,1920,-0.908,0.0073298439383506775,0.44577550888061523,308.375,0.875,0
6,2880,-0.5759,0.010167574509978294,0.4312981367111206,334.875,0.625,0
8,3840,-0.3595,0.008755380287766457,0.4386533200740814,333.1875,0.625,0
10,4800,-1.0908,0.008044467307627201,0.4510531425476074,309.0625,0.75,0
12,5760,1.4935,0.010286681354045868,0.45164597034454346,321.75,0.6875,0
14,6720,-0.8553,0.006930909585207701,0.45797061920166016,302.1875,0.8125,0
16,7680,4.7412,0.008209094405174255,0.4497722387313843,336.75,0.6875,0
18,8640,-0.2088,0.009688494727015495,0.4369947910308838,311.125,0.6875,0
20,9600,0.1642,0.008122223429381847,0.4436854124069214,348.375,0.6875,0
22,10560,4.7762,0.007601942401379347,0.4515051245689392,228.375,0.8125,0
24,11520,4.8847,0.007526795379817486,0.4549636244773865,244.3125,0.75,0
26,12480,6.3562,0.007276659831404686,0.45032191276550293,268.0625,0.8125,0
28,13440,5.9328,0.007948577404022217,0.454468697309494,264.875,0.75,0
30,14400,4.1956,0.007689798250794411,0.45509371161460876,298.0625,0.75,0
32,15360,3.8712,0.009091353043913841,0.4548727869987488,306.3125,0.6875,0
34,16320,9.7969,0.006719615310430527,0.45079338550567627,314.875,0.6875,0
36,17280,9.4274,0.00745245348662138,0.4588879942893982,317.625,0.6875,0
38,18240,10.8156,0.005518283229321241,0.46292707324028015,183.125,0.9375,0
40,19200,10.3945,0.006770123727619648,0.4617184102535248,282.375,0.875,1
42,20160,7.2204,0.007198628969490528,0.4604465961456299,239.625,0.875,1
44,21120,2.205,0.007077347952872515,0.4564395844936371,263.5625,0.75,1
46,22080,-2.2735,0.006750592961907387,0.4650350511074066,241.25,0.8125,1
48,23040,0.3706,0.007808697875589132,0.46851009130477905,230.1875,0.875,1
50,24000,5.3473,0.00517773162573576,0.47284388542175293,148.9375,1.0,1
52,24960,-0.8423,0.005509270820766687,0.47158265113830566,214.625,0.9375,1
54,25920,4.3067,0.006031728349626064,0.47804999351501465,157.0,0.9375,1
56,26880,3.3768,0.007425665855407715,0.47849518060684204,238.6875,0.875,1
58,27840,5.1748,0.005952334962785244,0.4627607464790344,151.3125,0.9375,1
60,28800,4.1768,0.005986999254673719,0.4616933763027191,168.8125,0.9375,1
62,29760,6.4713,0.005873555783182383,0.4767153859138489,245.9375,0.875,1
64,30720,2.3524,0.005781007464975119,0.46862778067588806,181.875,0.9375,1
66,31680,-0.9183,0.0059319185093045235,0.4614197611808777,196.1875,0.875,2
68,32640,-25.0379,0.012818449176847935,0.4686606526374817,247.375,0.6875,2
70,33600,-5.8524,0.009497037157416344,0.46925172209739685,304.9375,0.75,2
72,34560,-7.1539,0.005141859874129295,0.4656553268432617,239.4375,0.9375,2
74,35520,-2.6814,0.0067903222516179085,0.465432733297348,209.4375,0.9375,2
76,36480,0.8653,0.006771695334464312,0.46986767649650574,240.3125,0.8125,2
78,37440,-1.5663,0.006248158402740955,0.48760390281677246,201.0625,0.875,2
80,38400,5.5638,0.005667450372129679,0.47529667615890503,142.625,1.0,2
82,39360,-17.4017,0.006688512861728668,0.4646244943141937,219.25,0.9375,2
84,40320,-6.4335,0.006454178132116795,0.45892220735549927,222.5,0.9375,2
86,41280,-0.5335,0.007134941406548023,0.46361348032951355,258.6875,0.875,2
88,42240,-1.3024,0.005795348901301622,0.463832825422287,240.0625,0.9375,2
90,43200,-6.654,0.006754753179848194,0.45442384481430054,243.1875,0.875,2
92,44160,-3.9939,0.0059372493997216225,0.4717833995819092,188.0625,0.9375,3
94,45120,-14.8751,0.006854057312011719,0.4624975621700287,181.5,0.9375,3
96,46080,-18.096,0.023115716874599457,0.46465322375297546,268.0625,0.75,3
98,47040,-4.9131,0.006728093605488539,0.48584747314453125,233.1875,0.8125,3
100,48000,-5.9233,0.007578923832625151,0.48695582151412964,231.5625,0.75,3
102,48960,-4.8053,0.006221906282007694,0.46478796005249023,237.625,0.9375,3
104,49920,-19.9892,0.007253412157297134,0.47541317343711853,241.25,0.9375,3
106,50880,-1.6745,0.006211201660335064,0.47090479731559753,186.5,0.875,3
108,51840,-5.4697,0.005555440206080675,0.47705531120300293,209.9375,0.9375,3
110,52800,3.5286,0.00511098001152277,0.5013493299484253,164.5,0.875,3
112,53760,-14.1003,0.01902516931295395,0.494067907333374,203.375,0.875,3
114,54720,-4.738,0.007550038862973452,0.4681876599788666,232.625,0.8125,3
116,55680,-0.2634,0.006224433891475201,0.4781741797924042,176.8125,0.875,3
118,56640,-2.3459,0.006794040556997061,0.4697089195251465,210.625,0.9375,4
120,57600,-15.0781,0.006222177296876907,0.4822941720485687,223.125,0.9375,4
122,58560,-12.548,0.02283792570233345,0.4731236398220062,250.25,0.8125,4
124,59520,-45.0537,0.006329394411295652,0.4800961911678314,248.75,0.875,4
126,60480,-30.3718,0.007710964884608984,0.4797436594963074,290.9375,0.6875,4
128,61440,-41.2624,0.023617763072252274,0.4908905625343323,235.125,0.8125,4
130,62400,-23.3295,0.008989797905087471,0.4939940869808197,325.0,0.625,4
132,63360,-21.0976,0.005930855870246887,0.48735564947128296,180.5625,0.9375,4
134,64320,-12.4442,0.018398405984044075,0.48417648673057556,256.0,0.8125,4
136,65280,-35.8122,0.02297374978661537,0.4886336922645569,279.3125,0.8125,4
138,66240,-31.9305,0.009292984381318092,0.485237181186676,283.6875,0.75,4
140,67200,-35.7842,0.020717311650514603,0.49335116147994995,268.25,0.8125,4
142,68160,-36.3596,0.020024586468935013,0.48371750116348267,239.9375,0.8125,4
