episode,timestep,reward
3,920,-11917.6506
6,1840,-8240.8315
8,2760,-15554.1063
11,3680,-4500.1266
14,4600,-12205.2897
17,5520,-11573.0298
20,6440,-6695.8415
23,7360,-6908.6296
26,8280,-9377.5946
28,9200,-5197.8227
30,10120,-527.2979
32,11040,-7588.6808
34,11960,-392.4963
36,12880,-2059.9984
38,13800,-862.9926
41,14720,-1847.0053
43,15640,-4441.5399
45,16560,-9087.8914
47,17480,-2688.31
49,18400,-4707.7732
51,19320,-732.0775
53,20240,-1104.6393
55,21160,-1334.475
58,22080,-1834.4488
60,23000,-859.5689
62,23920,-588.9362
64,24840,-624.3514
66,25760,-1054.7236
68,26680,-1687.3007
70,27600,-599.4234
72,28520,-538.9888
74,29440,-813.8719
76,30360,-980.2985
78,31280,-768.6345
80,32200,-701.8309
82,33120,-491.8673
84,34040,-629.5016
87,34960,-4388.5429
89,35880,-552.1034
91,36800,-385.963
93,37720,-656.4842
95,38640,-893.2697
97,39560,-356.1405
99,40480,-700.3589
101,41400,-845.8194
103,42320,-1485.225
105,43240,-372.9075
107,44160,-713.8171
109,45080,-565.1895
111,46000,-700.9246
113,46920,-514.8152
115,47840,-473.2573
118,48760,-690.7106
120,49680,-692.0194
122,50600,-477.6369
124,51520,-698.5799
126,52440,-573.8384
128,53360,-653.5321
130,54280,-620.9265
132,55200,-1633.4715
134,56120,-536.8715
136,57040,-552.5851
138,57960,-597.6177
140,58880,-548.4349
142,59800,-625.225
144,60720,-2407.675
146,61640,-575.532
148,62560,-825.8868
150,63480,-657.0149
152,64400,-537.8304
154,65320,-1085.2786
157,66240,-459.6354
159,67160,-680.9614
161,68080,-588.5187
163,69000,-3960.5051
165,69920,-461.7757
167,70840,-554.1801
169,71760,-623.2393
171,72680,-469.1363
173,73600,-589.3184
175,74520,-1644.0653
177,75440,-1276.6009
179,76360,-359.2753
181,77280,-631.3561
184,78200,-1629.9348
186,79120,-817.0916
188,80040,-591.6939
190,80960,-642.9588
192,81880,-478.9486
194,82800,-652.8216
196,83720,-682.3028
198,84640,-778.6763
200,85560,-758.8084
202,86480,-464.0483
204,87400,-443.3892
206,88320,-753.3666
208,89240,-527.9123
210,90160,-841.04
212,91080,-536.9672
215,92000,-1487.3638
217,92920,-766.8867
219,93840,-1573.3536
221,94760,-1787.9426
223,95680,-986.8873
225,96600,-397.009
227,97520,-561.592
229,98440,-2845.8824
231,99360,-453.2539
233,100280,-804.146
235,101200,-862.6801
237,102120,-633.3796
239,103040,-609.5152
241,103960,-682.6379
243,104880,-597.4053
245,105800,-1383.5978
248,106720,-495.6854
250,107640,-672.4844
252,108560,-549.7215
254,109480,-514.3659
256,110400,-309.2777
258,111320,-675.7083
260,112240,-519.996
262,113160,-647.7547
264,114080,-522.7428
266,115000,-274.7818
268,115920,-1616.786
270,116840,-648.6196
272,117760,-374.1457
274,118680,-411.7104
276,119600,-563.1932
278,120520,-651.0695
280,121440,-514.0861
282,122360,-543.0894
284,123280,-621.5806
286,124200,-1073.4715
289,125120,-1162.9943
291,126040,-650.0293
293,126960,-612.857
295,127880,-557.6332
297,128800,-2324.0422
299,129720,-383.7978
301,130640,-614.4418
303,131560,-351.0651
305,132480,-1487.3267
307,133400,-768.2394
309,134320,-436.7439
311,135240,-521.995
313,136160,-635.4411
315,137080,-643.7494
317,138000,-694.3769
319,138920,-706.0728
321,139840,-737.5581
323,140760,-884.1513
325,141680,-728.8924
327,142600,-1300.7086
330,143520,-629.7962
332,144440,-696.6675
334,145360,-1090.5891
336,146280,-541.2404
338,147200,-718.2202
340,148120,-525.3979
342,149040,-555.5819
344,149960,-553.9868
346,150880,-619.9009
348,151800,-572.9049
350,152720,-586.819
352,153640,-696.0228
354,154560,-745.2167
356,155480,-395.0367
358,156400,-702.4501
360,157320,-621.1131
362,158240,-450.5656
364,159160,-421.0253
366,160080,-846.8653
