episode,timestep,reward
1,920,37.4954
2,1840,31.1231
3,2760,31.1094
4,3680,53.6041
5,4600,29.0389
6,5520,32.337
7,6440,22.9107
8,7360,39.8261
9,8280,36.6118
10,9200,45.5656
11,10120,42.5332
12,11040,39.2992
13,11960,56.8912
14,12880,63.1586
15,13800,42.7852
16,14720,81.2052
17,15640,49.5432
18,16560,56.755
19,17480,57.4589
20,18400,65.3905
21,19320,93.9297
22,20240,113.2096
23,21160,100.4165
24,22080,123.8163
25,23000,88.0775
26,23920,108.9342
27,24840,93.8584
28,25760,205.4961
29,26680,170.2803
30,27600,275.9461
31,28520,202.381
32,29440,228.1828
33,30360,247.3153
34,31280,167.0957
35,32200,194.126
36,33120,174.3214
37,34040,228.1264
38,34960,310.0119
39,35880,193.6946
40,36800,335.0331
41,37720,282.6425
42,38640,329.528
44,39560,318.2126
45,40480,341.2335
46,41400,382.6712
47,42320,343.5469
48,43240,300.3412
49,44160,494.363
50,45080,420.3315
51,46000,354.5727
52,46920,471.6519
53,47840,388.0737
54,48760,347.1841
55,49680,351.7633
56,50600,343.2582
57,51520,409.0095
58,52440,341.5448
59,53360,348.7971
60,54280,383.7749
61,55200,441.07
62,56120,370.3001
63,57040,548.2591
64,57960,513.2138
65,58880,582.4383
66,59800,453.921
67,60720,509.9212
68,61640,479.5918
69,62560,457.1299
70,63480,399.752
71,64400,537.9808
72,65320,454.6164
73,66240,473.7847
74,67160,428.1725
75,68080,424.2746
76,69000,523.3327
77,69920,474.6177
78,70840,455.4768
79,71760,531.6712
80,72680,486.9511
81,73600,416.625
82,74520,556.7069
83,75440,516.3887
84,76360,564.6123
85,77280,572.3428
86,78200,573.9404
88,79120,566.9331
89,80040,541.2742
90,80960,471.3181
91,81880,586.0248
92,82800,551.831
93,83720,588.1069
94,84640,594.8423
95,85560,632.5839
96,86480,644.0132
97,87400,579.7595
98,88320,673.1072
99,89240,546.7906
100,90160,623.7989
101,91080,596.0432
102,92000,647.8425
103,92920,633.0295
104,93840,574.3659
105,94760,674.4684
106,95680,643.8532
107,96600,635.0119
108,97520,662.6693
109,98440,682.1167
110,99360,643.2003
111,100280,679.4512
112,101200,641.9465
113,102120,667.4244
114,103040,649.4823
115,103960,612.5197
116,104880,671.4124
117,105800,648.9742
118,106720,574.1068
119,107640,627.3282
120,108560,645.1071
121,109480,640.5565
122,110400,649.2295
123,111320,666.2167
124,112240,644.7967
125,113160,642.0569
126,114080,589.5854
127,115000,662.0563
128,115920,677.2805
129,116840,647.8707
130,117760,628.5269
132,118680,664.2428
133,119600,667.7212
134,120520,696.5417
135,121440,672.4185
136,122360,704.927
137,123280,704.4924
138,124200,673.2932
139,125120,717.5207
140,126040,658.0832
141,126960,662.1441
142,127880,688.741
143,128800,664.7063
144,129720,665.8805
145,130640,729.147
146,131560,694.7078
147,132480,659.9336
148,133400,689.8286
149,134320,728.348
150,135240,651.8393
151,136160,617.2688
152,137080,540.4979
153,138000,519.6392
154,138920,520.3097
155,139840,597.1418
156,140760,602.8889
157,141680,613.4832
158,142600,632.8481
159,143520,631.6238
160,144440,648.2768
161,145360,468.271
162,146280,529.7933
163,147200,595.6785
164,148120,584.9473
165,149040,627.8696
166,149960,560.2801
167,150880,584.1803
168,151800,589.8083
169,152720,669.0664
170,153640,629.9602
171,154560,600.5939
172,155480,505.6102
173,156400,669.5224
174,157320,654.3902
176,158240,645.6845
177,159160,649.5861
178,160080,662.1107
179,161000,603.6676
180,161920,606.0977
181,162840,674.116
182,163760,650.8665
183,164680,590.8215
184,165600,557.0671
185,166520,666.519
186,167440,670.6397
187,168360,685.8273
188,169280,653.5045
189,170200,670.2764
190,171120,635.4195
191,172040,684.3106
192,172960,664.502
193,173880,642.0282
194,174800,657.8337
195,175720,576.81
196,176640,634.7173
197,177560,677.4741
198,178480,692.1829
199,179400,655.9163
200,180320,694.4107
201,181240,687.2878
202,182160,670.9867
203,183080,690.4825
204,184000,673.464
205,184920,720.1303
206,185840,700.9364
207,186760,700.3149
208,187680,669.7376
209,188600,709.0798
210,189520,700.7511
211,190440,717.4306
212,191360,711.8321
213,192280,710.4196
214,193200,691.5354
215,194120,729.6655
216,195040,693.5739
217,195960,719.9929
218,196880,723.047
220,197800,730.897
221,198720,726.3009
222,199640,698.9902
223,200560,723.5297
224,201480,720.6796
225,202400,706.4192
226,203320,-46.2849
227,204240,720.8243
228,205160,726.5548
229,206080,729.6881
230,207000,716.3131
231,207920,754.8951
232,208840,731.256
233,209760,719.2267
234,210680,683.437
235,211600,712.0093
236,212520,735.0934
237,213440,690.0455
238,214360,722.4299
239,215280,693.2205
240,216200,694.5892
241,217120,684.6557
242,218040,687.7654
243,218960,679.1486
244,219880,669.1068
245,220800,707.3984
246,221720,718.4461
247,222640,732.9623
248,223560,741.5403
249,224480,697.3388
250,225400,751.4004
251,226320,737.6171
252,227240,676.1834
253,228160,728.6237
254,229080,726.1544
255,230000,682.4631
256,230920,707.9575
257,231840,671.4616
258,232760,723.7675
259,233680,688.9667
260,234600,703.1121
261,235520,687.9546
263,236440,681.0974
264,237360,717.567
265,238280,337.6221
266,239200,-2459.5148
267,240120,681.1591
268,241040,704.2116
269,241960,666.1415
270,242880,671.9304
271,243800,746.3684
272,244720,685.3422
273,245640,704.5986
274,246560,668.7059
275,247480,649.9854
276,248400,732.1745
277,249320,657.2045
278,250240,711.0492
279,251160,677.9667
280,252080,648.062
