episode,timestep,reward
1,920,251.841
2,1840,93.9149
3,2760,66.4103
4,3680,8.8692
6,4600,230.0873
7,5520,195.8131
8,6440,111.1636
9,7360,35.9681
10,8280,137.0175
11,9200,41.8217
12,10120,266.9462
14,11040,302.213
15,11960,226.994
16,12880,274.8111
17,13800,70.6906
18,14720,300.8753
20,15640,133.3036
21,16560,114.8576
22,17480,448.939
23,18400,297.5704
24,19320,322.7432
25,20240,246.138
26,21160,264.6825
27,22080,471.9493
28,23000,350.8724
29,23920,519.1007
30,24840,213.316
31,25760,277.6034
32,26680,287.6506
33,27600,189.0092
34,28520,243.6641
36,29440,386.5871
37,30360,483.5169
38,31280,555.3297
39,32200,366.2055
40,33120,379.5939
41,34040,553.6356
42,34960,330.0641
43,35880,466.1425
44,36800,607.7768
45,37720,332.1128
46,38640,373.2657
47,39560,602.6443
48,40480,524.5075
49,41400,755.0382
50,42320,505.4715
51,43240,434.3451
52,44160,448.9088
53,45080,663.6993
54,46000,532.8125
55,46920,324.0022
56,47840,620.8989
57,48760,465.278
58,49680,429.4239
59,50600,426.2656
60,51520,573.0581
61,52440,492.867
62,53360,450.2874
63,54280,532.8528
64,55200,394.6734
65,56120,422.4107
66,57040,674.7833
67,57960,310.8814
68,58880,567.7339
69,59800,664.009
70,60720,598.1011
71,61640,743.4597
72,62560,664.8413
73,63480,677.9706
74,64400,661.54
76,65320,603.3255
77,66240,502.155
78,67160,627.0124
79,68080,600.649
80,69000,741.2645
81,69920,608.8691
82,70840,564.1242
83,71760,610.04
84,72680,770.7509
85,73600,638.5959
86,74520,571.3878
87,75440,653.3513
88,76360,709.7961
89,77280,670.4364
90,78200,676.1541
91,79120,606.9916
92,80040,625.0829
93,80960,709.3848
94,81880,537.0917
95,82800,602.4488
96,83720,736.0938
97,84640,760.2389
98,85560,669.9873
99,86480,677.0448
100,87400,656.2925
101,88320,577.1479
102,89240,682.7522
103,90160,662.9066
104,91080,497.3638
105,92000,642.6594
106,92920,641.3146
107,93840,669.1559
108,94760,356.4496
109,95680,642.667
110,96600,753.616
111,97520,237.3129
112,98440,577.8818
113,99360,456.4328
114,100280,651.1622
115,101200,566.8824
116,102120,587.7797
117,103040,609.3947
119,103960,663.7925
120,104880,663.6581
121,105800,615.3066
122,106720,678.4129
123,107640,571.9159
124,108560,505.7289
125,109480,694.8488
126,110400,645.1682
127,111320,668.7267
128,112240,701.4175
129,113160,576.0549
130,114080,616.1909
131,115000,683.6854
132,115920,625.1081
133,116840,614.1603
134,117760,612.951
135,118680,562.0507
136,119600,708.3915
137,120520,627.3458
138,121440,645.1878
139,122360,516.2191
140,123280,582.6146
141,124200,530.048
142,125120,734.6937
143,126040,580.9581
144,126960,760.7522
145,127880,645.5512
146,128800,606.7211
147,129720,763.5711
148,130640,555.7497
149,131560,659.1452
151,132480,526.7362
152,133400,602.1342
153,134320,706.0911
154,135240,579.2624
155,136160,594.8228
156,137080,600.7621
157,138000,746.1049
158,138920,662.5361
159,139840,690.9424
160,140760,595.728
162,141680,455.1386
163,142600,543.0258
164,143520,625.0994
165,144440,645.0929
166,145360,671.9295
167,146280,596.4098
168,147200,610.5243
169,148120,266.7207
170,149040,613.1522
171,149960,617.0691
