episode,timestep,reward
1,920,636.4043
2,1840,530.9928
3,2760,718.6949
4,3680,-839.986
5,4600,563.4731
6,5520,409.5978
7,6440,715.5671
8,7360,734.9626
9,8280,760.9514
10,9200,516.5635
11,10120,656.5762
12,11040,526.1573
13,11960,684.2451
14,12880,709.2849
15,13800,732.7362
16,14720,-418.0968
17,15640,-814.0788
18,16560,460.0317
19,17480,765.3945
20,18400,-428.1087
21,19320,575.8442
22,20240,773.2965
23,21160,688.1669
24,22080,760.7382
25,23000,499.1873
26,23920,743.6143
27,24840,583.1427
28,25760,-1244.3412
29,26680,660.8927
30,27600,427.4846
31,28520,-432.5873
32,29440,666.6033
33,30360,705.7407
34,31280,288.4385
35,32200,710.4362
36,33120,651.2681
37,34040,733.5812
38,34960,759.5831
39,35880,528.9285
40,36800,740.1416
41,37720,759.2519
42,38640,520.2089
