episode,timestep,reward
1,920,363.6566
2,1840,247.7429
3,2760,364.4548
4,3680,320.4634
5,4600,181.2923
6,5520,441.4777
7,6440,382.8449
8,7360,225.6296
9,8280,203.1164
10,9200,448.839
11,10120,352.3415
12,11040,542.356
13,11960,498.0008
14,12880,477.4635
15,13800,587.1885
16,14720,236.4567
17,15640,339.6509
18,16560,370.268
19,17480,552.9744
20,18400,316.4401
21,19320,621.9301
22,20240,541.2693
23,21160,270.0979
24,22080,549.1229
25,23000,612.6229
26,23920,523.0736
27,24840,525.1301
28,25760,602.0942
29,26680,634.6375
30,27600,392.7
31,28520,687.7936
32,29440,704.3383
33,30360,696.7178
34,31280,377.156
35,32200,732.2453
36,33120,399.8392
37,34040,509.3117
38,34960,533.3677
39,35880,476.2994
40,36800,387.6276
41,37720,645.7115
42,38640,412.8698
44,39560,654.5699
45,40480,625.6708
46,41400,647.6951
47,42320,632.0376
48,43240,501.8293
49,44160,573.7904
50,45080,490.8433
51,46000,629.6427
52,46920,658.0793
53,47840,445.2131
54,48760,734.589
55,49680,477.3264
56,50600,521.0245
57,51520,656.3729
58,52440,792.3293
59,53360,670.4978
60,54280,754.675
61,55200,767.2562
62,56120,621.9752
63,57040,479.0179
64,57960,604.1628
65,58880,739.1922
66,59800,718.9435
67,60720,690.8541
68,61640,766.192
69,62560,745.7399
70,63480,745.5413
71,64400,729.0012
72,65320,720.1949
73,66240,722.5276
74,67160,747.5112
75,68080,595.2801
76,69000,710.641
77,69920,672.7791
78,70840,780.8966
79,71760,597.9331
80,72680,591.3424
81,73600,784.4404
82,74520,829.3305
83,75440,792.5476
84,76360,645.0837
85,77280,788.581
86,78200,715.9639
88,79120,722.9771
89,80040,731.7846
90,80960,825.1304
91,81880,678.6798
92,82800,517.0841
93,83720,714.2092
94,84640,667.4955
95,85560,692.0166
96,86480,748.1147
97,87400,795.4694
98,88320,615.2061
99,89240,568.3341
100,90160,760.4309
101,91080,711.8802
102,92000,714.4242
103,92920,672.2418
104,93840,567.6115
105,94760,719.1319
106,95680,724.4699
107,96600,706.0223
108,97520,617.6368
109,98440,687.1553
110,99360,814.079
111,100280,749.7519
112,101200,722.2887
113,102120,767.3118
114,103040,667.3352
115,103960,811.9652
116,104880,685.0698
117,105800,700.9213
118,106720,619.2276
119,107640,788.0099
120,108560,595.7791
121,109480,729.5321
122,110400,782.8564
123,111320,798.6145
124,112240,809.8368
125,113160,819.784
126,114080,772.3627
127,115000,773.9161
128,115920,776.7006
129,116840,783.4902
130,117760,759.2297
132,118680,763.3469
133,119600,672.0205
134,120520,743.6458
135,121440,785.8806
136,122360,740.6359
137,123280,709.0037
