episode,timestep,reward
2,920,-5518.9247
4,1840,-4674.3765
6,2760,-574.3336
8,3680,-3518.9668
10,4600,-497.0738
12,5520,-703.7654
14,6440,-403.4514
16,7360,-1960.8103
18,8280,-680.4177
20,9200,-620.19
22,10120,-411.5812
24,11040,-897.0711
26,11960,-575.5348
28,12880,-1172.9437
30,13800,-863.8843
32,14720,-665.3835
34,15640,-593.5389
37,16560,-1475.958
39,17480,-745.2611
41,18400,-2859.2551
43,19320,-359.4601
45,20240,-1170.5579
47,21160,-539.2022
49,22080,-679.0814
51,23000,-802.5885
53,23920,-740.2085
55,24840,-689.6662
57,25760,-534.0672
59,26680,-537.1753
61,27600,-529.4122
63,28520,-833.9317
65,29440,-593.9571
67,30360,-416.2039
69,31280,-632.1371
71,32200,-722.9192
73,33120,-280.7622
75,34040,-854.062
78,34960,-515.6607
80,35880,-687.7989
82,36800,-805.8066
84,37720,-744.7701
86,38640,-500.7927
88,39560,-534.1381
90,40480,-539.0297
92,41400,-842.8497
94,42320,-612.4997
96,43240,-1299.907
98,44160,-883.3047
100,45080,-523.643
102,46000,-558.6027
104,46920,-695.7973
106,47840,-501.0783
108,48760,-933.0563
110,49680,-502.3539
112,50600,-752.8426
114,51520,-621.6832
116,52440,-701.4809
119,53360,-687.5912
121,54280,-687.3055
123,55200,-557.296
125,56120,-754.3379
127,57040,-615.0613
129,57960,-581.0043
131,58880,-615.9289
133,59800,-542.8493
135,60720,-506.8831
137,61640,-809.3437
139,62560,-430.9132
141,63480,-800.3439
143,64400,-447.8648
145,65320,-884.6974
147,66240,-527.9003
149,67160,-684.298
151,68080,-584.4287
153,69000,-893.5796
155,69920,-674.2857
157,70840,-443.3639
159,71760,-814.0995
162,72680,-694.4099
164,73600,-613.9351
166,74520,-778.434
168,75440,-977.6181
170,76360,-1831.0741
172,77280,-520.1652
174,78200,-956.2586
176,79120,-574.8968
178,80040,-722.775
180,80960,-517.2395
182,81880,-743.9191
184,82800,-563.1221
186,83720,-484.3618
188,84640,-684.5997
190,85560,-806.2561
192,86480,-482.4706
194,87400,-581.382
196,88320,-420.7574
198,89240,-738.2994
200,90160,-907.883
203,91080,-596.0153
205,92000,-896.9419
207,92920,-510.1907
209,93840,-470.4103
211,94760,-1805.936
213,95680,-1675.2693
215,96600,-766.1141
217,97520,-731.6369
219,98440,-1914.1586
221,99360,-980.0467
223,100280,-647.7729
225,101200,-1899.0435
227,102120,-383.5308
230,103040,-1678.6774
232,103960,-1737.0499
234,104880,-619.2638
236,105800,-480.1902
238,106720,-497.5047
240,107640,-786.9535
242,108560,-616.9207
244,109480,-371.2508
246,110400,-549.5743
248,111320,-764.6319
250,112240,-610.4682
253,113160,-564.369
255,114080,-1053.4891
257,115000,-596.5962
259,115920,-351.5839
261,116840,-551.4607
263,117760,-625.4694
265,118680,-714.3574
267,119600,-697.06
269,120520,-585.1486
271,121440,-499.7389
273,122360,-2092.6831
