episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,-121.5397,0.1108069121837616,0.3659764230251312,480.0,0.0,0
4,1920,-120.0191,0.09174302220344543,0.36682721972465515,480.0,0.0,0
6,2880,-123.2493,0.0951809287071228,0.3760642409324646,480.0,0.0,0
8,3840,-118.8595,0.09702008962631226,0.37202519178390503,480.0,0.0,0
10,4800,-124.7511,0.11148270219564438,0.3665061593055725,480.0,0.0,0
12,5760,-120.6833,0.10615381598472595,0.37639230489730835,480.0,0.0,0
14,6720,-122.2221,0.10254071652889252,0.369482159614563,480.0,0.0,0
16,7680,-121.1406,0.10584355890750885,0.3696412444114685,480.0,0.0,0
18,8640,-116.0403,0.10470005124807358,0.3873771131038666,480.0,0.0,0
20,9600,-110.9521,0.08797433972358704,0.3777243494987488,452.25,0.0625,0
22,10560,-112.8629,0.10009651631116867,0.3707961440086365,480.0,0.0,0
24,11520,-107.1539,0.08749023079872131,0.37302887439727783,480.0,0.0,0
26,12480,-102.3346,0.07522469758987427,0.37713807821273804,480.0,0.0,0
28,13440,-108.4641,0.08269054442644119,0.3768448233604431,451.0625,0.0625,0
30,14400,-103.5764,0.07532823085784912,0.3724929690361023,454.875,0.0625,0
32,15360,-102.5111,0.08092296123504639,0.3711321949958801,480.0,0.0,0
34,16320,-100.4425,0.08620063960552216,0.3681362569332123,452.5,0.0625,0
36,17280,-96.5398,0.0849180743098259,0.3646305203437805,480.0,0.0,0
38,18240,-83.8426,0.08645956218242645,0.3703172206878662,480.0,0.0,0
40,19200,-93.1599,0.09414033591747284,0.3708770275115967,453.25,0.0625,0
42,20160,-72.7634,0.09179187566041946,0.3850289285182953,480.0,0.0,0
44,21120,-75.89,0.09116832911968231,0.3767434060573578,450.25,0.0625,0
46,22080,-89.3165,0.0909065306186676,0.3776269555091858,480.0,0.0,0
48,23040,-96.7599,0.11332155764102936,0.37967628240585327,480.0,0.0,0
50,24000,-49.1483,0.07382243871688843,0.36805734038352966,480.0,0.0,0
52,24960,-62.614,0.0847279354929924,0.3740481734275818,480.0,0.0,0
54,25920,-56.5465,0.08407656848430634,0.3773535192012787,454.0625,0.0625,0
56,26880,-54.1615,0.0898251011967659,0.3799750506877899,480.0,0.0,0
58,27840,-51.4839,0.08171020448207855,0.3706715703010559,480.0,0.0,0
60,28800,-37.6725,0.08013520389795303,0.37252622842788696,480.0,0.0,0
62,29760,-24.5833,0.07561112195253372,0.3764078617095947,480.0,0.0,0
64,30720,-4.7926,0.051726438105106354,0.37586137652397156,480.0,0.0,0
66,31680,-21.3902,0.07485900074243546,0.3774368166923523,430.0,0.125,0
68,32640,-23.0734,0.07274030148983002,0.3736283779144287,480.0,0.0,0
70,33600,-25.2882,0.073403000831604,0.35818856954574585,480.0,0.0,0
72,34560,-4.134,0.06838147342205048,0.37109002470970154,480.0,0.0,0
