episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2338,1120320,459.215,0.007309783715754747,0.01272968016564846,166.6875,0.875,4
2340,1121280,444.9632,0.0061460998840630054,0.014168426394462585,175.0,0.875,4
2342,1122240,433.9417,0.009651120752096176,0.01685222238302231,252.1875,0.6875,4
2344,1123200,436.4107,0.00802686158567667,0.019439218565821648,234.625,0.75,4
2346,1124160,436.1505,0.008161213248968124,0.027269136160612106,222.9375,0.75,4
2348,1125120,447.4583,0.008581507951021194,0.02309821918606758,255.25,0.6875,4
2350,1126080,439.7654,0.0085889408364892,0.02823064476251602,245.125,0.75,4
2352,1127040,439.2908,0.008092537522315979,0.022300994023680687,281.625,0.625,4
2354,1128000,435.6115,0.007989257574081421,0.02848544716835022,227.375,0.875,4
2356,1128960,441.8094,0.008601455949246883,0.02044512704014778,260.875,0.6875,4
2358,1129920,431.479,0.009827808476984501,0.016954701393842697,292.5,0.5625,4
2360,1130880,437.2694,0.008466067723929882,0.027783576399087906,254.1875,0.6875,4
2362,1131840,425.9312,0.008837403729557991,0.016756249591708183,250.75,0.6875,4
2364,1132800,435.2743,0.009458839893341064,0.017386402934789658,281.1875,0.5625,4
2366,1133760,440.8833,0.01221071183681488,0.015068541280925274,292.6875,0.5625,4
2368,1134720,438.2452,0.010523611679673195,0.019021939486265182,304.0,0.6875,4
2370,1135680,445.4343,0.008776058442890644,0.011814291588962078,266.6875,0.6875,4
2372,1136640,439.6183,0.007685886695981026,0.020726343616843224,218.0625,0.8125,4
2374,1137600,440.0009,0.0081766527146101,0.017633121460676193,235.4375,0.6875,4
2376,1138560,443.5071,0.008308212272822857,0.020474376156926155,272.1875,0.6875,4
2378,1139520,438.4863,0.009906180202960968,0.031989067792892456,298.875,0.5,4
2380,1140480,429.6021,0.009875411167740822,0.029918592423200607,294.25,0.5625,4
2382,1141440,432.9088,0.010650686919689178,0.029402360320091248,266.25,0.625,4
