episode,timestep,reward
4,920,-9726.7359
7,1840,-9811.4333
10,2760,-16882.6556
13,3680,-13343.0196
19,4600,-8371.7328
24,5520,-6492.8904
27,6440,-4548.0496
31,7360,-9635.0635
33,8280,-4299.1669
35,9200,-2707.9587
39,10120,-3517.6912
41,11040,-3634.1624
44,11960,-2971.5611
47,12880,-4859.0789
50,13800,-4048.5941
53,14720,-4717.4354
55,15640,-4062.8822
57,16560,-2417.3834
60,17480,-5748.8554
62,18400,-4726.3878
65,19320,-4198.6462
68,20240,-3634.9002
72,21160,-2938.6728
77,22080,-4844.7546
82,23000,-3898.974
86,23920,-3608.4861
91,24840,-3549.6827
96,25760,-3959.517
100,26680,-3515.2759
105,27600,-3913.4079
110,28520,-4147.7491
114,29440,-3812.8499
118,30360,-3201.4231
123,31280,-3821.9872
127,32200,-4084.2765
132,33120,-3439.9898
137,34040,-3276.8037
142,34960,-3766.2451
147,35880,-3876.0116
151,36800,-4480.9116
155,37720,-4587.6771
160,38640,-3789.9918
164,39560,-3608.6706
168,40480,-3774.8387
172,41400,-3708.1585
177,42320,-4478.4137
180,43240,-4330.4173
185,44160,-3565.7064
190,45080,-3666.5935
194,46000,-5544.242
198,46920,-3220.1859
202,47840,-4183.8516
205,48760,-5409.6425
209,49680,-5042.2011
212,50600,-3187.5026
214,51520,-4049.679
219,52440,-4052.9195
224,53360,-3808.3001
228,54280,-3975.231
231,55200,-5164.5627
234,56120,-4303.056
238,57040,-4504.1093
241,57960,-6087.2586
245,58880,-4569.4775
248,59800,-4819.5201
252,60720,-3767.5692
256,61640,-4337.3581
259,62560,-4029.0683
262,63480,-4024.2548
266,64400,-4464.9437
270,65320,-4254.5849
273,66240,-4290.1702
277,67160,-4275.2982
281,68080,-4503.9214
284,69000,-4536.5285
288,69920,-4176.204
291,70840,-3975.8594
295,71760,-3989.8689
299,72680,-4197.3167
302,73600,-3941.6764
306,74520,-4411.2695
311,75440,-4070.5504
315,76360,-3437.3354
319,77280,-3643.1979
323,78200,-4321.1707
327,79120,-3583.0955
331,80040,-3773.8677
336,80960,-4505.202
340,81880,-3470.7899
344,82800,-3862.6841
350,83720,-4249.7375
355,84640,-3819.3953
360,85560,-3438.8846
366,86480,-3440.8876
372,87400,-3944.954
377,88320,-3286.5923
383,89240,-3368.3845
389,90160,-3502.0727
394,91080,-3336.8737
400,92000,-4089.2864
406,92920,-3507.8365
411,93840,-3486.9659
417,94760,-3543.8513
422,95680,-3996.9593
428,96600,-3542.6286
434,97520,-3905.3103
440,98440,-3859.1837
446,99360,-4382.3224
452,100280,-4534.0215
458,101200,-3937.0218
463,102120,-3899.6943
468,103040,-3317.2954
474,103960,-3514.0786
482,104880,-4236.3772
489,105800,-3898.4772
496,106720,-3864.8143
503,107640,-3458.7946
510,108560,-3412.4304
518,109480,-3535.5146
525,110400,-3288.6714
532,111320,-3400.9339
540,112240,-3491.6875
548,113160,-3140.8656
556,114080,-3590.7177
564,115000,-3230.233
573,115920,-3099.351
581,116840,-3251.7849
589,117760,-3549.6065
597,118680,-2997.8347
606,119600,-3204.0569
614,120520,-3099.6652
623,121440,-3272.6253
632,122360,-3347.8792
640,123280,-3215.3494
649,124200,-3271.0892
658,125120,-3115.0643
666,126040,-3087.6197
675,126960,-3467.3233
684,127880,-3198.5108
693,128800,-3054.7756
702,129720,-3100.3387
711,130640,-3012.9501
720,131560,-2985.9278
728,132480,-3254.3837
737,133400,-3437.0759
746,134320,-3261.0347
755,135240,-3233.7635
764,136160,-3203.0777
772,137080,-3219.0304
781,138000,-3004.0384
790,138920,-2989.0133
799,139840,-3640.5668
807,140760,-3237.1991
816,141680,-3185.0348
825,142600,-3423.918
834,143520,-3356.7281
843,144440,-3230.711
851,145360,-3650.2895
860,146280,-4011.1331
869,147200,-3162.7544
878,148120,-3411.6024
887,149040,-3616.6241
896,149960,-3482.5177
904,150880,-3400.629
913,151800,-3437.5739
922,152720,-3699.5155
931,153640,-3399.7666
939,154560,-3787.691
948,155480,-3772.4811
957,156400,-3368.9362
965,157320,-3080.4699
974,158240,-3164.8741
983,159160,-3197.8685
992,160080,-3230.0021
1001,161000,-3295.4545
1010,161920,-3326.7879
1019,162840,-3172.6962
1028,163760,-3419.4666
1037,164680,-3134.9958
1045,165600,-3598.8257
1054,166520,-3368.5512
1063,167440,-3312.5166
1071,168360,-3593.5021
1080,169280,-3048.5068
1089,170200,-3278.7564
1098,171120,-3390.7171
1107,172040,-3261.4175
1115,172960,-3391.1688
1124,173880,-3087.4006
1132,174800,-3597.6097
1141,175720,-3238.0515
1150,176640,-3134.0708
1159,177560,-3190.5037
1168,178480,-3056.7104
1177,179400,-3098.3074
1186,180320,-4280.9746
1195,181240,-2962.8877
1203,182160,-3012.2737
1212,183080,-3191.4874
1221,184000,-3109.0696
1230,184920,-3424.7524
1238,185840,-3135.298
1247,186760,-3492.6557
1256,187680,-3333.8347
1265,188600,-3077.7011
1273,189520,-3098.3626
1282,190440,-3318.8936
1291,191360,-3230.6157
1300,192280,-2972.2244
1310,193200,-3050.3206
1319,194120,-3215.5853
1327,195040,-3017.2489
1336,195960,-3267.4274
1345,196880,-3124.7169
1355,197800,-3142.4069
1363,198720,-3555.4506
1372,199640,-3038.2734
1381,200560,-2992.0411
1389,201480,-3369.3688
1398,202400,-3391.9566
1407,203320,-3310.3066
1416,204240,-3148.7799
1425,205160,-3186.0998
1433,206080,-3455.3936
1442,207000,-2941.3141
1451,207920,-3193.0941
1460,208840,-3055.7237
1469,209760,-3012.1095
1477,210680,-3264.1789
1486,211600,-3371.0343
1495,212520,-3183.7344
1504,213440,-3298.5333
1513,214360,-3075.5089
1521,215280,-2956.8167
1531,216200,-3026.3107
1540,217120,-3463.2364
1548,218040,-3207.2191
1557,218960,-3085.6664
1566,219880,-3395.7188
1575,220800,-3398.9547
1584,221720,-3301.6485
1592,222640,-3821.888
1601,223560,-3451.2878
1610,224480,-3413.8157
1619,225400,-3241.4207
1628,226320,-3663.2204
1637,227240,-3816.879
1645,228160,-2990.1372
1654,229080,-3054.3297
1663,230000,-3202.0967
1672,230920,-3409.3026
1681,231840,-3466.3636
1689,232760,-3648.6103
1698,233680,-3371.5547
1707,234600,-3608.9879
1715,235520,-2908.0376
1725,236440,-3272.0676
1733,237360,-3286.2914
1742,238280,-3202.472
1751,239200,-3186.4471
1760,240120,-3399.9694
1768,241040,-3155.0767
1777,241960,-3033.4233
1786,242880,-3359.9607
1795,243800,-3564.8489
1804,244720,-3256.3546
1813,245640,-3222.1556
1822,246560,-3421.3491
1831,247480,-3112.3205
1840,248400,-3319.4466
1849,249320,-2987.7183
1857,250240,-2968.865
1866,251160,-3314.6154
1875,252080,-2892.7686
1884,253000,-3052.1722
1893,253920,-3072.4587
1902,254840,-3224.4674
