episode,timestep,reward
1,920,170.2053
2,1840,157.2513
3,2760,59.8786
4,3680,82.7179
5,4600,115.4715
6,5520,404.5907
7,6440,174.887
8,7360,115.4559
9,8280,447.2088
10,9200,530.5314
11,10120,470.0476
12,11040,195.0173
13,11960,275.2746
14,12880,568.6735
15,13800,338.0974
16,14720,148.7531
17,15640,533.4388
18,16560,436.3606
19,17480,439.3141
20,18400,145.0271
21,19320,170.878
22,20240,80.1377
23,21160,136.7008
24,22080,135.1729
25,23000,99.6612
26,23920,160.9561
27,24840,130.7498
28,25760,200.6048
29,26680,356.7685
30,27600,577.2337
31,28520,189.1141
32,29440,362.1592
33,30360,398.6553
34,31280,308.1386
35,32200,193.4634
36,33120,231.7905
37,34040,219.0555
38,34960,466.3433
39,35880,152.9822
40,36800,465.7339
41,37720,386.0628
42,38640,436.8782
44,39560,286.5598
45,40480,220.9473
46,41400,237.0783
47,42320,288.0643
48,43240,172.5478
49,44160,276.2392
50,45080,336.4873
51,46000,251.0513
52,46920,530.2709
53,47840,186.4076
54,48760,152.3588
55,49680,181.7171
56,50600,178.2621
57,51520,534.1275
58,52440,422.8088
59,53360,262.0587
60,54280,574.9762
61,55200,288.0334
62,56120,489.0351
63,57040,258.3363
64,57960,146.1723
65,58880,453.1463
66,59800,264.731
67,60720,638.3339
68,61640,189.7296
