episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,71.2128,0.14231494069099426,0.3526684641838074,480.0,0.0,0
4,1920,14.4559,0.124287910759449,0.35687851905822754,473.359375,0.015625,0
6,2880,-20.6029,0.12965787947177887,0.36160171031951904,480.0,0.0,0
8,3840,-43.5254,0.13698603212833405,0.36238640546798706,480.0,0.0,0
10,4800,27.2855,0.13336336612701416,0.360247939825058,480.0,0.0,0
12,5760,171.4408,0.13460175693035126,0.35995587706565857,480.0,0.0,0
14,6720,-19.8874,0.1293395757675171,0.3619774281978607,473.859375,0.015625,0
16,7680,-5.1393,0.12620654702186584,0.36276477575302124,472.671875,0.015625,0
18,8640,-84.2493,0.12870585918426514,0.36240360140800476,480.0,0.0,0
20,9600,-86.9153,0.13670116662979126,0.357944130897522,480.0,0.0,0
22,10560,63.1726,0.13836222887039185,0.3648270070552826,480.0,0.0,0
24,11520,-22.5616,0.14562636613845825,0.36633843183517456,480.0,0.0,0
26,12480,-49.1048,0.13641130924224854,0.364949107170105,480.0,0.0,0
28,13440,-58.0265,0.135797917842865,0.3629167079925537,480.0,0.0,0
30,14400,-24.7334,0.12495994567871094,0.362064003944397,474.484375,0.015625,0
32,15360,-76.4879,0.13679182529449463,0.36159956455230713,480.0,0.0,0
34,16320,44.4393,0.13521204888820648,0.3606719970703125,480.0,0.0,0
36,17280,8.0113,0.13431942462921143,0.3494816720485687,480.0,0.0,0
38,18240,-43.1659,0.12107785791158676,0.3584352433681488,472.609375,0.015625,0
40,19200,26.7305,0.12533460557460785,0.3588850200176239,480.0,0.0,0
42,20160,16.2239,0.14063483476638794,0.3587561547756195,480.0,0.0,0
44,21120,56.9337,0.13655972480773926,0.3594302535057068,480.0,0.0,0
46,22080,97.9211,0.13359959423542023,0.35952886939048767,467.703125,0.03125,0
48,23040,1.6781,0.1363029181957245,0.35932573676109314,480.0,0.0,0
50,24000,-20.3781,0.1316455900669098,0.35892653465270996,480.0,0.0,0
52,24960,-116.1505,0.14363351464271545,0.3596765995025635,480.0,0.0,0
54,25920,-75.8683,0.12639236450195312,0.36498427391052246,480.0,0.0,0
56,26880,-31.4619,0.12697473168373108,0.36142098903656006,480.0,0.0,0
58,27840,36.5521,0.13946589827537537,0.3614982068538666,480.0,0.0,0
60,28800,-26.3109,0.12721943855285645,0.35984787344932556,472.515625,0.015625,0
62,29760,66.7349,0.13417884707450867,0.3615188002586365,480.0,0.0,0
64,30720,41.2856,0.13673102855682373,0.36307066679000854,480.0,0.0,0
66,31680,-36.0902,0.1476808786392212,0.3639441430568695,480.0,0.0,0
68,32640,-43.8886,0.1319236159324646,0.37954050302505493,480.0,0.0,0
70,33600,68.7772,0.13015323877334595,0.37562745809555054,480.0,0.0,0
72,34560,-24.8128,0.12693195044994354,0.37225794792175293,474.046875,0.015625,0
74,35520,79.6198,0.1311834752559662,0.36966222524642944,473.484375,0.015625,0
76,36480,54.4777,0.14107002317905426,0.36946576833724976,480.0,0.0,0
