episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,296.2985,0.10632641613483429,9.954796951205935e-06,467.9375,0.0625,0
4,1920,290.1959,0.08086448907852173,1.050054379447829e-05,480.0,0.0,0
6,2880,264.6445,0.10942871868610382,1.192596937471535e-05,480.0,0.0,0
8,3840,251.8648,0.11758794635534286,1.1473064660094678e-05,480.0,0.0,0
10,4800,158.1564,0.1021227166056633,4.7630146582378075e-06,480.0,0.0,0
12,5760,158.4032,0.10064869374036789,5.380223228712566e-06,480.0,0.0,0
14,6720,156.6664,0.11944958567619324,6.646125257248059e-06,480.0,0.0,0
16,7680,161.9818,0.11051775515079498,6.09546168561792e-06,480.0,0.0,0
18,8640,105.9453,0.10725532472133636,1.3532945558836218e-05,454.5,0.0625,0
20,9600,85.7244,0.11695549637079239,1.251259345735889e-05,480.0,0.0,0
22,10560,98.7577,0.09861745685338974,1.0466965250088833e-05,480.0,0.0,0
24,11520,105.3403,0.11018045246601105,1.0269060112477746e-05,480.0,0.0,0
26,12480,76.4655,0.10022341459989548,3.579163967515342e-05,451.0,0.0625,0
28,13440,83.1156,0.11736772209405899,3.584674414014444e-05,480.0,0.0,0
30,14400,71.9604,0.10389573127031326,3.643576201284304e-05,480.0,0.0,0
32,15360,66.6766,0.12047936767339706,3.711028693942353e-05,480.0,0.0,0
34,16320,65.8998,0.11974243819713593,0.00010053157893707976,480.0,0.0,0
36,17280,61.4114,0.10791526734828949,0.00010856755397981033,480.0,0.0,0
38,18240,73.7861,0.09685171395540237,9.835028322413564e-05,480.0,0.0,0
40,19200,59.9724,0.10477433353662491,9.768144809640944e-05,450.6875,0.0625,0
42,20160,70.6291,0.1036694198846817,0.0001449794217478484,480.0,0.0,0
44,21120,74.9859,0.09737993776798248,0.00014811685832682997,450.9375,0.0625,0
46,22080,74.9626,0.1158110573887825,0.00016560677613597363,480.0,0.0,0
48,23040,63.7115,0.12512359023094177,0.00016543576202820987,480.0,0.0,0
50,24000,78.7433,0.13408206403255463,0.00018597742018755525,480.0,0.0,0
52,24960,90.7047,0.10448480397462845,0.00019474314467515796,480.0,0.0,0
54,25920,77.5388,0.12758348882198334,0.00017976530943997204,480.0,0.0,0
56,26880,84.7802,0.12285745143890381,0.00018245892715640366,480.0,0.0,0
58,27840,130.6135,0.06764853000640869,0.00020825100364163518,480.0,0.0,0
60,28800,104.009,0.10553686320781708,0.00022954864834900945,480.0,0.0,0
62,29760,97.2434,0.12227389961481094,0.0001987348950933665,480.0,0.0,0
64,30720,101.3996,0.10042613744735718,0.00023443163081537932,480.0,0.0,0
66,31680,135.8115,0.1214640811085701,0.00019344821339473128,480.0,0.0,0
68,32640,123.1857,0.11187896877527237,0.00018740748055279255,480.0,0.0,0
70,33600,134.329,0.11059875786304474,0.00021367974113672972,480.0,0.0,0
72,34560,128.5667,0.11006797850131989,0.00023604495800100267,480.0,0.0,0
74,35520,156.5622,0.10060770809650421,0.00023950918694026768,480.0,0.0,0
76,36480,159.1053,0.11644600331783295,0.00027072933153249323,480.0,0.0,0
78,37440,156.8366,0.0938824862241745,0.00027436454547569156,480.0,0.0,0
80,38400,164.5456,0.0982186570763588,0.0002818125067278743,480.0,0.0,0
82,39360,186.1611,0.11245118826627731,0.00024051536456681788,480.0,0.0,0
84,40320,179.7939,0.1275540292263031,0.0002750046842265874,480.0,0.0,0
86,41280,204.1041,0.09441793709993362,0.0002907879534177482,480.0,0.0,0
88,42240,206.4017,0.10020793974399567,0.00023320698528550565,480.0,0.0,0
90,43200,191.029,0.10848811268806458,0.00022939633345231414,480.0,0.0,0
92,44160,205.7449,0.10549090802669525,0.00033976550912484527,480.0,0.0,0
94,45120,213.7388,0.09460677206516266,0.00032011757139116526,480.0,0.0,0
96,46080,203.3077,0.09966814517974854,0.0003749639727175236,480.0,0.0,0
98,47040,218.7159,0.0895969495177269,0.00019969126151409,480.0,0.0,0
