episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,175.0171,0.053893767297267914,0.37752842903137207,480.0,0.0,0
4,1920,182.8618,0.05858239904046059,0.37563905119895935,480.0,0.0,0
6,2880,166.5852,0.07573951035737991,0.35437750816345215,453.375,0.0625,0
8,3840,178.3201,0.07556263357400894,0.3664524555206299,480.0,0.0,0
10,4800,188.8881,0.06663256883621216,0.3566686511039734,480.0,0.0,0
12,5760,202.3608,0.05395904555916786,0.3626900911331177,480.0,0.0,0
14,6720,179.6684,0.0726589784026146,0.3697452247142792,480.0,0.0,0
16,7680,202.7719,0.04485004395246506,0.3779221475124359,450.25,0.0625,0
18,8640,196.7191,0.047628067433834076,0.36328768730163574,480.0,0.0,0
20,9600,208.195,0.05416596680879593,0.3625835180282593,480.0,0.0,0
22,10560,213.8922,0.04374836012721062,0.3781556785106659,447.25,0.125,0
24,11520,229.2608,0.04850766807794571,0.3767516613006592,431.0,0.125,0
