episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,85.103,0.13350915908813477,0.3571664094924927,480.0,0.0,0
4,1920,218.7453,0.12538354098796844,0.37749001383781433,467.0625,0.03125,0
6,2880,118.4067,0.12905234098434448,0.3689042031764984,480.0,0.0,0
8,3840,132.2424,0.1269454061985016,0.368771493434906,480.0,0.0,0
10,4800,-11.0599,0.1266166865825653,0.36353397369384766,480.0,0.0,0
12,5760,47.4255,0.12141337990760803,0.3638104796409607,480.0,0.0,0
14,6720,39.7112,0.13238802552223206,0.3637603223323822,480.0,0.0,0
16,7680,117.1458,0.11458243429660797,0.3637053370475769,475.5625,0.015625,0
18,8640,27.6941,0.1422334760427475,0.36404725909233093,480.0,0.0,0
20,9600,114.4344,0.14438524842262268,0.3647429943084717,480.0,0.0,0
22,10560,135.7021,0.13127188384532928,0.3650830388069153,480.0,0.0,0
24,11520,74.8941,0.13402944803237915,0.3656274974346161,473.21875,0.015625,0
26,12480,-31.7473,0.12257005274295807,0.36591458320617676,480.0,0.0,0
28,13440,126.789,0.1288522630929947,0.3653789460659027,480.0,0.0,0
30,14400,21.5982,0.1228085309267044,0.36492905020713806,480.0,0.0,0
32,15360,-35.6043,0.1361144483089447,0.3646866977214813,480.0,0.0,0
34,16320,-15.1931,0.12825235724449158,0.36360883712768555,480.0,0.0,0
36,17280,162.0767,0.12861807644367218,0.3595582842826843,480.0,0.0,0
38,18240,16.8444,0.14480356872081757,0.35716280341148376,474.140625,0.015625,0
40,19200,198.0917,0.12855759263038635,0.36056584119796753,480.0,0.0,0
42,20160,-31.1065,0.12907858192920685,0.36112451553344727,480.0,0.0,0
44,21120,64.8897,0.13857746124267578,0.36062222719192505,480.0,0.0,0
46,22080,179.9635,0.1387922167778015,0.3613409996032715,480.0,0.0,0
48,23040,88.1082,0.12719744443893433,0.36245959997177124,480.0,0.0,0
50,24000,193.2588,0.13291171193122864,0.3625609278678894,475.0,0.015625,0
52,24960,88.9146,0.13504043221473694,0.3629515767097473,480.0,0.0,0
