episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,133.3302,0.0826791524887085,0.35704439878463745,480.0,0.0,0
4,1920,112.4559,0.11335395276546478,0.3564714789390564,480.0,0.0,0
6,2880,119.4907,0.11965322494506836,0.3506355285644531,480.0,0.0,0
8,3840,149.1932,0.0950225219130516,0.35699671506881714,480.0,0.0,0
10,4800,139.5861,0.09739144146442413,0.3620571494102478,480.0,0.0,0
12,5760,110.3021,0.09929858893156052,0.3641766905784607,480.0,0.0,0
14,6720,115.8958,0.09533775597810745,0.3702445924282074,480.0,0.0,0
16,7680,147.32,0.08423580229282379,0.3675973415374756,450.125,0.0625,0
18,8640,110.9897,0.11101791262626648,0.3693259656429291,480.0,0.0,0
20,9600,149.5715,0.07896814495325089,0.3705213963985443,480.0,0.0,0
22,10560,125.1998,0.10222626477479935,0.35870665311813354,480.0,0.0,0
24,11520,135.4466,0.09052222222089767,0.3554407060146332,480.0,0.0,0
26,12480,133.0929,0.08642570674419403,0.36248308420181274,470.4375,0.0625,0
28,13440,132.0586,0.09655017405748367,0.35536760091781616,467.4375,0.0625,0
30,14400,146.229,0.08059307932853699,0.3684980869293213,480.0,0.0,0
32,15360,142.6654,0.10321787744760513,0.37097418308258057,480.0,0.0,0
34,16320,159.4001,0.09681834280490875,0.3616122603416443,468.625,0.0625,0
36,17280,173.8799,0.0701756626367569,0.35605868697166443,455.125,0.0625,0
38,18240,146.5387,0.0680931806564331,0.35501763224601746,480.0,0.0,0
40,19200,156.8389,0.09420117735862732,0.357589453458786,480.0,0.0,0
42,20160,134.0646,0.09057340770959854,0.3577311933040619,480.0,0.0,0
44,21120,150.1399,0.09256692230701447,0.3645324110984802,480.0,0.0,0
46,22080,168.7872,0.0672607570886612,0.35150378942489624,480.0,0.0,0
48,23040,160.4647,0.0841359794139862,0.3588370978832245,469.3125,0.0625,0
50,24000,165.3443,0.07671072334051132,0.3599413335323334,480.0,0.0,0
52,24960,173.2373,0.07668827474117279,0.36005735397338867,480.0,0.0,0
54,25920,149.0745,0.10690618306398392,0.3658050000667572,480.0,0.0,0
56,26880,155.9231,0.08256267011165619,0.3675651550292969,480.0,0.0,0
58,27840,177.4023,0.058476485311985016,0.36222052574157715,480.0,0.0,0
60,28800,146.7316,0.09301277250051498,0.3654944896697998,480.0,0.0,0
62,29760,158.8484,0.08687052130699158,0.3593311309814453,480.0,0.0,0
64,30720,170.9951,0.0767427310347557,0.3612316846847534,480.0,0.0,0
66,31680,178.4925,0.06930053979158401,0.36269497871398926,480.0,0.0,0
68,32640,163.5971,0.07875386625528336,0.3578135371208191,451.1875,0.0625,0
70,33600,173.3606,0.07628925144672394,0.3606509864330292,480.0,0.0,0
72,34560,158.7936,0.08390738815069199,0.36154675483703613,480.0,0.0,0
74,35520,189.0088,0.07469142228364944,0.3611222505569458,465.25,0.0625,0
76,36480,180.1977,0.05337043106555939,0.3590291440486908,441.3125,0.1875,0
78,37440,184.4224,0.058293163776397705,0.36100053787231445,472.3125,0.0625,0
80,38400,178.3131,0.0678529143333435,0.36089128255844116,480.0,0.0,0
82,39360,184.7019,0.0642009973526001,0.3605596423149109,470.5625,0.0625,0
84,40320,175.7443,0.07396625727415085,0.3612075448036194,480.0,0.0,0
86,41280,184.799,0.06836041808128357,0.3631065785884857,480.0,0.0,0
