episode,timestep,reward,precision,actvar,reach_step,reach_ratio,grade
2,960,-12.311,0.1227734312415123,0.36015695333480835,480.0,0.0,0
4,1920,37.9932,0.11928750574588776,0.36107656359672546,472.875,0.015625,0
6,2880,140.7747,0.1274288296699524,0.3620898127555847,480.0,0.0,0
8,3840,69.784,0.12876397371292114,0.3622964024543762,480.0,0.0,0
10,4800,17.0474,0.1358303427696228,0.36290431022644043,480.0,0.0,0
12,5760,138.4544,0.1275201290845871,0.362534761428833,480.0,0.0,0
14,6720,21.2061,0.11546853184700012,0.36103901267051697,480.0,0.0,0
16,7680,94.0575,0.11435984075069427,0.36149343848228455,480.0,0.0,0
18,8640,150.2995,0.10588985681533813,0.361973375082016,480.0,0.0,0
20,9600,90.6989,0.1150684505701065,0.3610190749168396,480.0,0.0,0
22,10560,75.2997,0.11104078590869904,0.3625141978263855,480.0,0.0,0
24,11520,185.1187,0.10461094975471497,0.3620511293411255,480.0,0.0,0
26,12480,61.4808,0.109676793217659,0.362600177526474,472.90625,0.015625,0
28,13440,53.6731,0.10730863362550735,0.36300572752952576,480.0,0.0,0
30,14400,126.4793,0.10427117347717285,0.3627968728542328,475.6875,0.015625,0
32,15360,64.8336,0.10323703289031982,0.36227402091026306,472.75,0.015625,0
34,16320,170.7753,0.10243123769760132,0.3634590804576874,480.0,0.0,0
36,17280,187.643,0.09380285441875458,0.3635762631893158,477.78125,0.015625,0
38,18240,73.9222,0.1012641042470932,0.3624853491783142,477.375,0.015625,0
40,19200,217.2297,0.08382640779018402,0.3636625409126282,476.15625,0.015625,0
42,20160,185.7882,0.09938802570104599,0.36249828338623047,469.125,0.03125,0
44,21120,155.4877,0.09357593953609467,0.36313503980636597,472.8125,0.03125,0
46,22080,108.8717,0.0939822793006897,0.3644660413265228,476.796875,0.015625,0
48,23040,219.9303,0.08869917690753937,0.36449307203292847,466.328125,0.046875,0
50,24000,169.691,0.08096782863140106,0.36255329847335815,474.59375,0.046875,0
52,24960,230.9352,0.0811600536108017,0.3634626865386963,477.984375,0.015625,0
54,25920,200.2734,0.06499946117401123,0.36432158946990967,471.890625,0.046875,0
56,26880,187.712,0.07678061723709106,0.3641815781593323,473.109375,0.015625,0
58,27840,251.022,0.06790691614151001,0.36271899938583374,478.71875,0.015625,0
60,28800,173.8553,0.06669459491968155,0.36407607793807983,473.90625,0.015625,0
62,29760,177.3903,0.0639122873544693,0.36394810676574707,474.109375,0.046875,0
64,30720,177.1258,0.06353443115949631,0.3638949990272522,480.0,0.0,0
66,31680,234.758,0.04384630173444748,0.3647822141647339,472.1875,0.03125,0
68,32640,260.8076,0.05423884466290474,0.3649558424949646,480.0,0.0,0
70,33600,242.3405,0.05342472717165947,0.36437785625457764,471.75,0.03125,0
72,34560,250.2278,0.05298943817615509,0.3643742501735687,470.375,0.03125,0
74,35520,219.5163,0.0419510081410408,0.36309027671813965,470.28125,0.046875,0
76,36480,248.1548,0.04281580448150635,0.363717645406723,463.9375,0.046875,0
78,37440,275.3858,0.049726419150829315,0.36503320932388306,480.0,0.0,0
80,38400,246.5023,0.05062733218073845,0.36455655097961426,464.203125,0.0625,0
82,39360,231.7691,0.047143153846263885,0.3662378787994385,474.609375,0.03125,0
84,40320,239.3709,0.04807199537754059,0.3664877414703369,466.703125,0.0625,0
86,41280,256.8879,0.04337695986032486,0.3650774657726288,476.515625,0.015625,0
88,42240,245.861,0.04740116000175476,0.3653501868247986,471.15625,0.0625,0
90,43200,262.2524,0.040106382220983505,0.3662840723991394,443.109375,0.140625,0
92,44160,253.1334,0.041282251477241516,0.3658234477043152,464.484375,0.09375,0
94,45120,231.0441,0.041374027729034424,0.3674144744873047,463.96875,0.0625,0
96,46080,201.8555,0.03571630269289017,0.3668220639228821,461.265625,0.109375,0
98,47040,268.5874,0.04183104634284973,0.3667159080505371,465.6875,0.046875,0
100,48000,216.9306,0.04174115136265755,0.3668064475059509,475.03125,0.015625,0
102,48960,227.3458,0.03837282210588455,0.3665352463722229,473.59375,0.046875,0
104,49920,255.6488,0.030575042590498924,0.36670875549316406,450.234375,0.125,0
106,50880,239.7065,0.038372866809368134,0.3663952946662903,453.9375,0.109375,0
108,51840,237.9134,0.03644304722547531,0.36687931418418884,448.203125,0.125,0
110,52800,271.1874,0.03897952288389206,0.36686253547668457,468.640625,0.0625,0
112,53760,266.5127,0.03591432422399521,0.36688232421875,465.734375,0.0625,0
114,54720,251.2713,0.03749874234199524,0.36923283338546753,478.625,0.03125,0
116,55680,240.1428,0.03630227595567703,0.36784037947654724,476.3125,0.03125,0
118,56640,237.9331,0.03556850180029869,0.36830782890319824,461.453125,0.078125,0
120,57600,261.3579,0.03524402156472206,0.368649423122406,456.671875,0.109375,0
122,58560,232.9343,0.026231054216623306,0.36789608001708984,454.6875,0.125,0
124,59520,260.0854,0.028498506173491478,0.36833637952804565,457.734375,0.15625,0
126,60480,259.6207,0.025085721164941788,0.3688311278820038,460.90625,0.140625,0
128,61440,248.7756,0.027446791529655457,0.36826246976852417,463.890625,0.109375,0
130,62400,250.8671,0.022945553064346313,0.36857277154922485,445.8125,0.296875,0
132,63360,269.7763,0.030848443508148193,0.3699326515197754,457.046875,0.109375,0
134,64320,280.3106,0.0274158027023077,0.3678871989250183,442.328125,0.125,0
136,65280,261.0764,0.028402971103787422,0.36867380142211914,452.984375,0.15625,0
138,66240,242.8567,0.02534850314259529,0.3674405813217163,453.109375,0.15625,0
140,67200,270.7268,0.025155875831842422,0.3684808611869812,445.4375,0.203125,0
142,68160,255.1525,0.026765508577227592,0.3687458038330078,465.90625,0.09375,0
144,69120,251.4008,0.02531754970550537,0.36880820989608765,459.03125,0.140625,0
146,70080,257.5322,0.03397607058286667,0.36934393644332886,478.171875,0.03125,0
148,71040,286.5266,0.030976302921772003,0.3698183000087738,472.1875,0.03125,0
150,72000,243.8517,0.026834052056074142,0.3682606816291809,459.265625,0.140625,0
