episode,timestep,reward
1,920,71.9538
2,1840,-5099.5663
3,2760,90.4776
4,3680,116.3593
5,4600,169.8503
6,5520,97.5182
7,6440,60.6859
8,7360,135.4847
9,8280,53.4323
10,9200,88.6208
11,10120,104.0228
12,11040,-2932.4828
13,11960,160.5557
14,12880,184.1042
15,13800,-2131.3614
16,14720,90.1825
17,15640,292.167
18,16560,72.8538
19,17480,176.8853
20,18400,199.2351
21,19320,704.3657
22,20240,-17035.7483
23,21160,66.543
24,22080,263.6879
25,23000,536.2985
26,23920,-729.0902
27,24840,268.9413
28,25760,449.9757
29,26680,420.179
30,27600,478.4839
32,28520,301.4461
33,29440,-4677.8294
34,30360,573.4043
35,31280,274.7988
36,32200,-991.6156
37,33120,607.5014
38,34040,415.2558
39,34960,369.4127
40,35880,379.4398
41,36800,374.3877
42,37720,-4102.6905
43,38640,456.2707
44,39560,467.2691
45,40480,-533.2553
46,41400,630.5762
47,42320,253.6855
48,43240,316.3371
49,44160,535.4224
50,45080,695.1107
51,46000,403.5489
52,46920,327.9601
53,47840,265.0675
54,48760,279.3431
55,49680,321.4825
56,50600,469.6821
57,51520,470.8971
58,52440,263.7761
59,53360,440.3193
60,54280,390.2251
61,55200,567.5423
62,56120,-1340.5276
63,57040,430.72
64,57960,438.1351
65,58880,278.0531
66,59800,-988.7101
67,60720,613.5939
68,61640,464.9851
69,62560,468.6031
70,63480,503.5449
71,64400,412.9557
72,65320,478.3251
73,66240,487.2273
74,67160,382.4249
76,68080,372.0413
77,69000,329.7288
78,69920,455.2948
79,70840,361.7094
80,71760,489.4583
81,72680,638.3896
82,73600,400.0935
83,74520,489.0912
84,75440,385.9334
85,76360,521.1973
86,77280,225.7409
87,78200,224.5531
88,79120,245.4075
89,80040,422.6287
90,80960,243.2325
91,81880,334.9801
92,82800,230.5606
93,83720,284.6205
94,84640,217.166
95,85560,234.9343
96,86480,304.5374
97,87400,235.3922
98,88320,522.2316
99,89240,386.6165
100,90160,-562.1219
101,91080,362.7762
102,92000,224.2502
103,92920,476.0101
104,93840,311.8328
105,94760,200.7932
106,95680,283.5009
107,96600,279.3527
108,97520,331.2048
109,98440,559.6283
110,99360,148.5588
111,100280,309.1255
112,101200,269.8779
113,102120,296.929
114,103040,186.3449
115,103960,533.4287
116,104880,547.1146
117,105800,349.1375
118,106720,374.8384
120,107640,298.3746
121,108560,95.7606
122,109480,371.6718
123,110400,176.8122
124,111320,426.5513
125,112240,344.9951
126,113160,360.143
127,114080,263.3463
128,115000,277.664
129,115920,240.96
130,116840,474.2494
131,117760,-3128.9492
132,118680,366.7436
133,119600,147.6978
134,120520,127.4521
135,121440,543.7612
136,122360,316.7358
137,123280,129.2776
138,124200,332.8097
139,125120,68.4429
140,126040,-91.444
141,126960,175.9126
142,127880,362.0658
143,128800,142.4353
144,129720,163.7527
145,130640,306.8919
146,131560,222.713
147,132480,282.722
148,133400,254.58
149,134320,-3943.9837
150,135240,213.1841
151,136160,222.6122
152,137080,241.3954
153,138000,504.6939
154,138920,181.3141
155,139840,350.7416
156,140760,270.2501
157,141680,288.7506
158,142600,377.3121
159,143520,-1482.1542
160,144440,367.8241
161,145360,-7490.7019
162,146280,399.3176
164,147200,344.2748
165,148120,211.8622
166,149040,368.5925
167,149960,416.8322
168,150880,293.0884
169,151800,368.9238
170,152720,302.571
171,153640,-756.7388
172,154560,183.5447
173,155480,394.1633
174,156400,255.8394
175,157320,327.3045
176,158240,328.539
177,159160,418.3447
178,160080,373.2916
179,161000,319.2343
180,161920,405.4439
181,162840,274.0062
182,163760,-4325.7014
183,164680,400.5749
185,165600,-2351.6628
186,166520,-2312.3991
188,167440,-2346.7187
190,168360,-2331.6358
191,169280,-2371.2938
193,170200,-2316.0052
194,171120,-2352.623
196,172040,-2358.7224
198,172960,-2336.3846
199,173880,-2301.3876
201,174800,-2364.9785
202,175720,-2289.9429
204,176640,-2305.7846
205,177560,-2320.4822
207,178480,-2721.8566
208,179400,-2344.1868
210,180320,-3916.2589
211,181240,-2705.9661
213,182160,-3922.5113
215,183080,-2331.2742
216,184000,-2348.7661
218,184920,-2314.3628
219,185840,-2321.4901
221,186760,-3122.6275
222,187680,-4374.5083
224,188600,-2362.6307
225,189520,-2286.0809
227,190440,-2324.4717
228,191360,-2368.1425
230,192280,-2754.5048
231,193200,-4382.1707
233,194120,-2362.0616
234,195040,-2321.1657
236,195960,-2924.2944
238,196880,-2560.3298
239,197800,-2361.988
241,198720,-2305.8473
242,199640,-2334.7527
244,200560,-2351.0748
245,201480,-2322.0805
247,202400,-3290.7193
248,203320,-2349.1715
250,204240,-2526.2991
251,205160,-2373.8721
253,206080,-3929.0237
255,207000,-2334.7241
256,207920,-2373.5182
258,208840,-2343.1243
259,209760,-2377.4061
261,210680,-2325.1213
262,211600,-2351.8104
264,212520,-2694.1446
265,213440,-2364.8429
267,214360,-2361.4532
268,215280,-2279.8691
270,216200,-2366.4298
271,217120,-2343.812
273,218040,-2504.5903
274,218960,-2340.0169
276,219880,-2307.4075
277,220800,-2361.5582
279,221720,-3368.2298
280,222640,-3453.7512
282,223560,-3310.6349
283,224480,-4295.6759
284,225400,-4312.4497
286,226320,-2343.2788
288,227240,-2356.3914
289,228160,-2302.1821
291,229080,-2333.5469
292,230000,-2681.4381
293,230920,-2296.7837
295,231840,-3311.3199
296,232760,-2286.1985
298,233680,-2302.9548
299,234600,-5941.5768
301,235520,-3686.7806
302,236440,-2338.3253
303,237360,-2343.087
305,238280,-2511.1871
