episode,timestep,reward
1,920,-85.3259
2,1840,136.8468
3,2760,43.0116
4,3680,10.5033
5,4600,188.7367
6,5520,-151.6836
7,6440,157.9382
8,7360,-92.9145
9,8280,191.7857
10,9200,73.6249
11,10120,-79.2431
12,11040,304.2052
13,11960,295.5799
14,12880,67.6349
15,13800,260.7893
16,14720,-69.2749
17,15640,-57.3963
18,16560,138.1624
19,17480,-52.5749
20,18400,115.8222
21,19320,466.5602
22,20240,54.9684
23,21160,214.7712
24,22080,318.4759
25,23000,191.0924
26,23920,-25.2102
27,24840,130.9514
28,25760,77.4995
29,26680,-9.7667
30,27600,209.7276
31,28520,318.9267
32,29440,192.5944
33,30360,43.8764
34,31280,101.9335
35,32200,139.2434
36,33120,366.9641
37,34040,10.4684
38,34960,156.8926
39,35880,118.9603
40,36800,196.5238
41,37720,227.7348
42,38640,295.9836
44,39560,308.4289
45,40480,236.0168
46,41400,119.4811
47,42320,-34.4824
48,43240,97.4362
49,44160,357.4785
50,45080,229.3582
51,46000,292.943
52,46920,136.6759
53,47840,41.0136
54,48760,170.6092
55,49680,319.6831
56,50600,396.9594
57,51520,164.3754
58,52440,195.28
59,53360,125.4554
60,54280,147.2097
61,55200,114.3266
62,56120,170.7668
63,57040,192.4508
64,57960,-46.0132
65,58880,177.7776
66,59800,145.0268
67,60720,-79.5918
68,61640,313.4581
69,62560,377.9202
70,63480,75.9906
71,64400,191.7104
72,65320,419.688
73,66240,43.3777
74,67160,149.0367
75,68080,126.603
76,69000,1.9739
77,69920,-61.4304
78,70840,139.8256
79,71760,374.7401
80,72680,474.4208
81,73600,331.6472
82,74520,132.2044
83,75440,258.8461
84,76360,211.0449
85,77280,350.0281
86,78200,285.321
88,79120,313.3879
89,80040,329.1961
90,80960,445.6064
91,81880,371.1194
92,82800,247.2016
93,83720,418.8767
94,84640,301.4975
95,85560,399.0974
96,86480,398.2931
97,87400,316.9993
98,88320,324.5911
99,89240,396.6076
100,90160,204.2141
101,91080,316.3514
102,92000,280.2294
103,92920,344.3205
104,93840,308.2918
105,94760,246.5627
106,95680,306.8093
107,96600,361.3183
108,97520,310.2378
109,98440,239.2215
110,99360,307.4219
111,100280,377.4827
112,101200,364.4296
113,102120,395.5797
114,103040,355.2202
115,103960,253.5992
116,104880,251.2685
117,105800,313.5512
118,106720,309.1137
119,107640,355.6296
120,108560,368.5653
121,109480,323.505
122,110400,306.2696
123,111320,388.7855
124,112240,242.4449
125,113160,399.8848
126,114080,239.1436
127,115000,305.8896
128,115920,365.4439
129,116840,382.1865
130,117760,273.6103
132,118680,352.7657
133,119600,281.3975
134,120520,335.3605
135,121440,354.0736
136,122360,329.1305
137,123280,344.188
138,124200,384.4662
139,125120,336.4226
140,126040,308.5453
141,126960,245.3315
142,127880,367.3855
143,128800,328.0669
144,129720,251.9177
145,130640,386.8408
146,131560,283.5397
147,132480,305.6803
148,133400,251.3408
149,134320,272.627
150,135240,350.5332
151,136160,292.8983
152,137080,248.5947
153,138000,313.3329
154,138920,243.3391
155,139840,334.0857
156,140760,261.8269
157,141680,280.2252
158,142600,357.2364
159,143520,387.2172
160,144440,292.7205
161,145360,282.159
162,146280,303.3649
163,147200,326.9287
164,148120,268.6077
165,149040,247.692
166,149960,254.7016
167,150880,281.1293
168,151800,327.5174
169,152720,330.8425
170,153640,365.2093
171,154560,321.7252
172,155480,230.0554
173,156400,248.8835
174,157320,181.1098
176,158240,319.4289
177,159160,230.2378
178,160080,269.535
179,161000,296.1847
180,161920,277.6168
181,162840,366.4673
182,163760,327.6131
183,164680,300.1275
184,165600,241.5948
185,166520,256.9344
186,167440,273.6761
187,168360,223.2195
188,169280,331.059
189,170200,331.3272
190,171120,250.3577
191,172040,198.0468
192,172960,284.3962
193,173880,231.2541
194,174800,345.3169
195,175720,333.6481
196,176640,296.6041
197,177560,283.5455
198,178480,333.7344
199,179400,329.8961
200,180320,273.7136
201,181240,241.9686
202,182160,298.1434
203,183080,274.9905
204,184000,290.5399
205,184920,304.0522
206,185840,287.7115
207,186760,104.6849
208,187680,-323.6464
209,188600,-333.6792
210,189520,-278.6542
211,190440,-230.8938
212,191360,-247.3774
213,192280,-361.8345
214,193200,73.54
215,194120,99.603
216,195040,48.4448
217,195960,55.1052
218,196880,-132.0941
220,197800,27.0154
221,198720,108.5872
222,199640,-43.6274
223,200560,100.1671
224,201480,11.2263
225,202400,53.7758
226,203320,29.7468
227,204240,138.4317
228,205160,72.6149
229,206080,81.5973
230,207000,-131.1746
231,207920,-220.5076
232,208840,-179.9804
233,209760,-407.272
234,210680,-363.9117
235,211600,-115.3501
236,212520,-258.6338
237,213440,-141.4275
238,214360,-180.1144
239,215280,-389.4107
240,216200,-326.5315
241,217120,-362.3085
242,218040,-181.0166
243,218960,-80.3049
244,219880,-181.9993
